IMAGE 2212608 7fa95ddfeeee2de9d832cbf7cf10a440c5fef158b0a11811deeee6b885cc2b75
RESUME: preserved snapshot; destination and source blocks require CRC
STAGE openvela 0x40400000 2212608
CRC VERIFIED 2166784/2212608 (17.3s)
RAM REUSE VERIFIED 2166784
RAM REUSE VERIFIED 2170880
CRC VERIFIED 2179072/2212608 (18.5s)
CRC VERIFIED 2183168/2212608 (19.5s)
CRC VERIFIED 2187264/2212608 (20.5s)
CRC VERIFIED 2191360/2212608 (21.4s)
CRC VERIFIED 2195456/2212608 (22.5s)
CRC VERIFIED 2199552/2212608 (23.6s)
CRC VERIFIED 2203648/2212608 (24.4s)
CRC VERIFIED 2207744/2212608 (24.8s)
CRC VERIFIED 2211840/2212608 (25.1s)
CRC VERIFIED 2212608/2212608 (25.2s)
STAGE SWT6621S_DRAM_SDIO.bin 0x50000000 193224
CRC VERIFIED 4096/193224 (25.2s)
CRC VERIFIED 8192/193224 (25.2s)
CRC VERIFIED 12288/193224 (25.3s)
CRC VERIFIED 16384/193224 (25.3s)
CRC VERIFIED 20480/193224 (25.3s)
CRC VERIFIED 24576/193224 (25.3s)
CRC VERIFIED 28672/193224 (25.3s)
CRC VERIFIED 32768/193224 (25.3s)
CRC VERIFIED 36864/193224 (25.4s)
CRC VERIFIED 40960/193224 (25.4s)
CRC VERIFIED 45056/193224 (25.4s)
CRC VERIFIED 49152/193224 (25.4s)
CRC VERIFIED 53248/193224 (25.4s)
CRC VERIFIED 57344/193224 (25.4s)
CRC VERIFIED 61440/193224 (25.5s)
CRC VERIFIED 65536/193224 (25.5s)
CRC VERIFIED 69632/193224 (25.5s)
CRC VERIFIED 73728/193224 (25.5s)
CRC VERIFIED 77824/193224 (25.5s)
CRC VERIFIED 81920/193224 (25.5s)
CRC VERIFIED 86016/193224 (25.5s)
CRC VERIFIED 90112/193224 (25.6s)
CRC VERIFIED 94208/193224 (25.6s)
CRC VERIFIED 98304/193224 (25.6s)
CRC VERIFIED 102400/193224 (25.6s)
CRC VERIFIED 106496/193224 (25.6s)
CRC VERIFIED 110592/193224 (25.6s)
CRC VERIFIED 114688/193224 (25.7s)
CRC VERIFIED 118784/193224 (25.7s)
CRC VERIFIED 122880/193224 (25.7s)
CRC VERIFIED 126976/193224 (25.7s)
CRC VERIFIED 131072/193224 (25.7s)
CRC VERIFIED 135168/193224 (25.7s)
CRC VERIFIED 139264/193224 (25.8s)
CRC VERIFIED 143360/193224 (25.8s)
CRC VERIFIED 147456/193224 (25.8s)
CRC VERIFIED 151552/193224 (25.8s)
CRC VERIFIED 155648/193224 (25.8s)
CRC VERIFIED 159744/193224 (25.8s)
CRC VERIFIED 163840/193224 (25.8s)
CRC VERIFIED 167936/193224 (25.9s)
CRC VERIFIED 172032/193224 (25.9s)
CRC VERIFIED 176128/193224 (25.9s)
CRC VERIFIED 180224/193224 (25.9s)
CRC VERIFIED 184320/193224 (25.9s)
CRC VERIFIED 188416/193224 (25.9s)
CRC VERIFIED 192512/193224 (26.0s)
CRC VERIFIED 193224/193224 (26.0s)
STAGE SWT6621S_IRAM_SDIO.bin 0x50100000 356616
CRC VERIFIED 4096/356616 (26.0s)
CRC VERIFIED 8192/356616 (26.0s)
CRC VERIFIED 12288/356616 (26.0s)
CRC VERIFIED 16384/356616 (26.0s)
CRC VERIFIED 20480/356616 (26.1s)
CRC VERIFIED 24576/356616 (26.1s)
